Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 100	Peptides 100 (2)	Peptides 250-1	Peptides 250-2	Razor + unique peptides 100	Razor + unique peptides 100 (2)	Razor + unique peptides 250-1	Razor + unique peptides 250-2	Unique peptides 100	Unique peptides 100 (2)	Unique peptides 250-1	Unique peptides 250-2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 100	Identification type 100 (2)	Identification type 250-1	Identification type 250-2	Sequence coverage 100 [%]	Sequence coverage 100 (2) [%]	Sequence coverage 250-1 [%]	Sequence coverage 250-2 [%]	Intensity	Intensity 100	Intensity 100 (2)	Intensity 250-1	Intensity 250-2	LFQ intensity 100	LFQ intensity 100 (2)	LFQ intensity 250-1	LFQ intensity 250-2	MS/MS Count 100	MS/MS Count 100 (2)	MS/MS Count 250-1	MS/MS Count 250-2	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Phospho (STY) site IDs	Oxidation (M) site positions	Phospho (STY) site positions
tr|A0A178V5Q7|A0A178V5Q7_ARATH;tr|Q8L7B9|Q8L7B9_ARATH;tr|A0A178V5R4|A0A178V5R4_ARATH;tr|B9DFW5|B9DFW5_ARATH;tr|A0A178V765|A0A178V765_ARATH;tr|Q9LW19|Q9LW19_ARATH	tr|A0A178V5Q7|A0A178V5Q7_ARATH;tr|Q8L7B9|Q8L7B9_ARATH;tr|A0A178V5R4|A0A178V5R4_ARATH;tr|B9DFW5|B9DFW5_ARATH;tr|A0A178V765|A0A178V765_ARATH;tr|Q9LW19|Q9LW19_ARATH	4;4;4;4;4;4	4;4;4;4;4;4	2;2;2;2;2;2	>tr|A0A178V5Q7|A0A178V5Q7_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At3g29280 PE=4 SV=1;>tr|Q8L7B9|Q8L7B9_ARATH Hydroxyproline-rich glycoprotein family protein OS=Arabidopsis thaliana GN=At3g26910 PE=2 SV=1;>tr|A0A178V5R4|A0A178V5R4_AR	6	4	4	2	3	3	2	2	3	3	2	2	2	1	0	0	9.6	9.6	5.4	67.468	607	607;608;613;614;614;621	0	42.261	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6.6	6.6	4.1	4.1	165590000	72264000	61626000	21339000	10365000	0	51395000	45909000	44158000	3	2	1	1	7				1807	653;3577;4658;5190	True;True;True;True	791;4417;5748;6425	1980;1981;11812;15429;15430;15431;17251;17252;17253;17254	1818;1819;10794;14106;15762;15763;15764	1818;10794;14106;15762		4358;4359;4360;4361;4362		329;350;511;518;558
tr|A0A178V848|A0A178V848_ARATH;tr|A0A178V5V1|A0A178V5V1_ARATH;tr|Q9SZQ2|Q9SZQ2_ARATH	tr|A0A178V848|A0A178V848_ARATH;tr|A0A178V5V1|A0A178V5V1_ARATH;tr|Q9SZQ2|Q9SZQ2_ARATH	1;1;1	1;1;1	1;1;1	>tr|A0A178V848|A0A178V848_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At4g34180 PE=4 SV=1;>tr|A0A178V5V1|A0A178V5V1_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At4g34180 PE=4 SV=1;>tr|Q9SZQ2|Q9SZQ2_ARATH AT4g29790/F27B	3	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1.4	1.4	1.4	133.15	1210	1210;1210;1211	0	12.516	By MS/MS	By matching	By matching	By matching	1.4	0	0	0	9850500	9850500	0	0	0	16009000	0	0	0	1	0	0	0	1				1808	4581	True	5656	15188	13887	13887		4363		387
tr|O49378|O49378_ARATH;tr|A0A178V6A1|A0A178V6A1_ARATH	tr|O49378|O49378_ARATH;tr|A0A178V6A1|A0A178V6A1_ARATH	1;1	1;1	1;1	>tr|O49378|O49378_ARATH AT4g32140/F10N7_50 OS=Arabidopsis thaliana GN=F10N7.50 PE=2 SV=1;>tr|A0A178V6A1|A0A178V6A1_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At4g36810 PE=4 SV=1	2	1	1	1	0	1	1	0	0	1	1	0	0	1	1	0	5.3	5.3	5.3	43.401	394	394;394	0	10.708	By matching	By MS/MS	By MS/MS	By matching	0	5.3	5.3	0	62574000	0	31772000	30802000	0	0	0	58398000	0	0	1	1	0	2				1809	2277	True	2794	7326;7327	6752;6753	6752		4364;4365		107;112
tr|Q93YU3|Q93YU3_ARATH;tr|Q84TH3|Q84TH3_ARATH;tr|Q9SCR5|Q9SCR5_ARATH;tr|A0A178V6B2|A0A178V6B2_ARATH;tr|F4J0P2|F4J0P2_ARATH	tr|Q93YU3|Q93YU3_ARATH;tr|Q84TH3|Q84TH3_ARATH;tr|Q9SCR5|Q9SCR5_ARATH;tr|A0A178V6B2|A0A178V6B2_ARATH;tr|F4J0P2|F4J0P2_ARATH	2;2;2;2;2	2;2;2;2;2	2;2;2;2;2	>tr|Q93YU3|Q93YU3_ARATH Putative uncharacterized protein At3g50600 OS=Arabidopsis thaliana GN=At3g50600 PE=2 SV=1;>tr|Q84TH3|Q84TH3_ARATH Putative uncharacterized protein At3g50600 OS=Arabidopsis thaliana GN=At3g50600 PE=2 SV=1;>tr|Q9SCR5|Q9SCR5_ARATH Puta	5	2	2	2	0	1	1	1	0	1	1	1	0	1	1	1	3.4	3.4	3.4	69.353	654	654;667;852;1606;1614	0	44.847	By matching	By MS/MS	By MS/MS	By MS/MS	0	3.2	3.4	3.2	0	0	0	0	0	0	0	0	0	0	1	1	1	3				1810	2545;5393	True;True	3133;6685	8343;18075;18076	7705;16545;16546	7705;16545	466	4366;4367;4368	172	180;181;182
tr|Q9LJ94|Q9LJ94_ARATH;tr|A0A178V6B5|A0A178V6B5_ARATH	tr|Q9LJ94|Q9LJ94_ARATH;tr|A0A178V6B5|A0A178V6B5_ARATH	1;1	1;1	1;1	>tr|Q9LJ94|Q9LJ94_ARATH Putative uncharacterized protein At3g22520 OS=Arabidopsis thaliana GN=At3g22520 PE=1 SV=1;>tr|A0A178V6B5|A0A178V6B5_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At3g24290 PE=4 SV=1	2	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	2.2	2.2	2.2	67.57	600	600;600	0	9.9913	By MS/MS	By matching	By matching	By matching	2.2	0	0	0	22676000	22676000	0	0	0	36851000	0	0	0	1	0	0	0	1				1811	781	True	953	2414	2210	2210	467	4369	397	395
tr|A0A178V6B7|A0A178V6B7_ARATH;tr|Q9LUI0|Q9LUI0_ARATH;tr|A0A178V7Y6|A0A178V7Y6_ARATH	tr|A0A178V6B7|A0A178V6B7_ARATH;tr|Q9LUI0|Q9LUI0_ARATH;tr|A0A178V7Y6|A0A178V7Y6_ARATH	1;1;1	1;1;1	1;1;1	>tr|A0A178V6B7|A0A178V6B7_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At3g24570 PE=4 SV=1;>tr|Q9LUI0|Q9LUI0_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=At3g22810 PE=4 SV=1;>tr|A0A178V7Y6|A0A178V7Y6_ARATH Uncharacterized prot	3	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	2.8	2.8	2.8	41.692	389	389;472;472	0	9.1638	By MS/MS	By MS/MS	By matching	By matching	2.8	2.8	0	0	45401000	22830000	22571000	0	0	0	22571000	0	0	2	1	0	0	3				1812	2094	True	2562	6714;6715;6716	6213;6214;6215	6214		4370;4371;4372		101;103;107
tr|Q9LJM0|Q9LJM0_ARATH;tr|F4JCC9|F4JCC9_ARATH;tr|A0A178V6H9|A0A178V6H9_ARATH	tr|Q9LJM0|Q9LJM0_ARATH;tr|F4JCC9|F4JCC9_ARATH;tr|A0A178V6H9|A0A178V6H9_ARATH	2;2;2	2;2;2	2;2;2	>tr|Q9LJM0|Q9LJM0_ARATH Uncharacterized protein OS=Arabidopsis thaliana PE=4 SV=1;>tr|F4JCC9|F4JCC9_ARATH AAA-type ATPase domain-containing protein OS=Arabidopsis thaliana GN=At3g19740 PE=4 SV=1;>tr|A0A178V6H9|A0A178V6H9_ARATH Uncharacterized protein OS=Ar	3	2	2	2	0	2	2	0	0	2	2	0	0	2	2	0	5.3	5.3	5.3	42.579	379	379;993;993	0	44.859	By matching	By MS/MS	By MS/MS	By matching	0	5.3	5.3	0	114620000	0	49815000	64804000	0	0	36178000	89177000	0	0	2	3	0	5				1813	59;60	True;True	72;73	169;170;171;172;173;174;175;176;177	153;154;155;156;157	153;156		4373;4374		307;309
tr|A0A178V6P5|A0A178V6P5_ARATH;tr|Q9M2W4|Q9M2W4_ARATH;tr|Q940C5|Q940C5_ARATH;tr|F4JF82|F4JF82_ARATH;tr|Q56WR2|Q56WR2_ARATH	tr|A0A178V6P5|A0A178V6P5_ARATH;tr|Q9M2W4|Q9M2W4_ARATH;tr|Q940C5|Q940C5_ARATH;tr|F4JF82|F4JF82_ARATH	5;4;3;3;1	5;4;3;3;1	5;4;3;3;1	>tr|A0A178V6P5|A0A178V6P5_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At3g49570 PE=4 SV=1;>tr|Q9M2W4|Q9M2W4_ARATH Putative uncharacterized protein T15C9_20 OS=Arabidopsis thaliana GN=T15C9_20 PE=4 SV=1;>tr|Q940C5|Q940C5_ARATH AT3g55020/T	5	5	5	5	2	4	4	1	2	4	4	1	2	4	4	1	7.7	7.7	7.7	92.685	827	827;814;465;777;316	0	278.89	By MS/MS	By MS/MS	By MS/MS	By MS/MS	4.5	7.7	6.7	1.9	465870000	34026000	310420000	117950000	3474800	173830000	270910000	140580000	0	4	6	4	2	16				1814	1359;2722;3529;4914;5863	True;True;True;True;True	1659;1660;3353;4354;4355;6069;6070;7267	4293;4294;4295;4296;4297;4298;4299;4300;4301;4302;8923;8924;8925;11656;11657;16269;16270;19806	3889;3890;3891;3892;3893;3894;3895;3896;3897;8233;8234;10642;10643;14916;14917;18091	3895;8234;10642;14916;18091		4375;4376;4377;4378;4379;4380;4381;7341		121;178;184;185;189;193;793;797
tr|A1A6N0|A1A6N0_ARATH;tr|A0A178V8W0|A0A178V8W0_ARATH;tr|F4J0R5|F4J0R5_ARATH;tr|Q9LET5|Q9LET5_ARATH;tr|C0Z252|C0Z252_ARATH;tr|A0A178V6Q8|A0A178V6Q8_ARATH	tr|A1A6N0|A1A6N0_ARATH;tr|A0A178V8W0|A0A178V8W0_ARATH;tr|F4J0R5|F4J0R5_ARATH;tr|Q9LET5|Q9LET5_ARATH;tr|C0Z252|C0Z252_ARATH;tr|A0A178V6Q8|A0A178V6Q8_ARATH	1;1;1;1;1;1	1;1;1;1;1;1	1;1;1;1;1;1	>tr|A1A6N0|A1A6N0_ARATH At3g56720 OS=Arabidopsis thaliana GN=At3g56720 PE=2 SV=1;>tr|A0A178V8W0|A0A178V8W0_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At3g51320 PE=4 SV=1;>tr|F4J0R5|F4J0R5_ARATH Uncharacterized protein OS=Arabidopsis tha	6	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	5.4	5.4	5.4	43.995	386	386;386;387;390;449;449	0	19.917	By MS/MS	By MS/MS	By matching	By matching	5.4	5.4	0	5.4	38853000	24680000	9976200	0	4196900	0	0	0	15944000	1	1	0	0	2				1815	3045	True	3740;3741	10024;10025;10026	9188;9189	9188	468	4382	1	7
tr|Q0WND7|Q0WND7_ARATH;tr|A0A178V6X7|A0A178V6X7_ARATH;tr|A8MRY5|A8MRY5_ARATH;tr|Q9M1X1|Q9M1X1_ARATH;tr|F4J0W8|F4J0W8_ARATH;tr|A0A178V7X4|A0A178V7X4_ARATH	tr|Q0WND7|Q0WND7_ARATH;tr|A0A178V6X7|A0A178V6X7_ARATH;tr|A8MRY5|A8MRY5_ARATH;tr|Q9M1X1|Q9M1X1_ARATH;tr|F4J0W8|F4J0W8_ARATH;tr|A0A178V7X4|A0A178V7X4_ARATH	2;2;2;2;2;2	2;2;2;2;2;2	2;2;2;2;2;2	>tr|Q0WND7|Q0WND7_ARATH Putative uncharacterized protein At3g63180 OS=Arabidopsis thaliana GN=At3g63180 PE=2 SV=1;>tr|A0A178V6X7|A0A178V6X7_ARATH TKL OS=Arabidopsis thaliana GN=AXX17_At3g57460 PE=4 SV=1;>tr|A8MRY5|A8MRY5_ARATH TIC-like protein OS=Arabidops	6	2	2	2	0	2	1	0	0	2	1	0	0	2	1	0	2.5	2.5	2.5	85.457	800	800;957;970;975;978;978	0	26.608	By matching	By MS/MS	By MS/MS	By matching	0	2.5	2.4	0	0	0	0	0	0	0	0	0	0	0	2	1	0	3				1816	810;811	True;True	987;988	2489;2490;2491	2271;2272;2273	2272;2273		4383;4384;4385		79;80;83
tr|Q9M2X8|Q9M2X8_ARATH;tr|A0A178V6Y8|A0A178V6Y8_ARATH	tr|Q9M2X8|Q9M2X8_ARATH;tr|A0A178V6Y8|A0A178V6Y8_ARATH	2;2	2;2	2;2	>tr|Q9M2X8|Q9M2X8_ARATH AT3g49800/T16K5_150 OS=Arabidopsis thaliana GN=T16K5.150 PE=1 SV=1;>tr|A0A178V6Y8|A0A178V6Y8_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At3g43960 PE=4 SV=1	2	2	2	2	2	1	1	1	2	1	1	1	2	1	1	1	9.3	9.3	9.3	47.511	428	428;428	0	197.79	By MS/MS	By MS/MS	By MS/MS	By MS/MS	9.3	5.6	5.6	5.6	56402000	25446000	25282000	0	5674000	35115000	0	0	0	3	2	1	2	8				1817	4861;5401	True;True	5994;6695;6696	16102;18100;18101;18102;18103;18104;18105;18106	14758;16570;16571;16572;16573;16574;16575;16576;16577	14758;16575		4386;4387;4388;4389;4390;7342		39;40;46;48;94;95
tr|Q9SUG8|Q9SUG8_ARATH;tr|A0A178V6Z0|A0A178V6Z0_ARATH	tr|Q9SUG8|Q9SUG8_ARATH;tr|A0A178V6Z0|A0A178V6Z0_ARATH	1;1	1;1	1;1	>tr|Q9SUG8|Q9SUG8_ARATH Putative uncharacterized protein AT4g30780 OS=Arabidopsis thaliana GN=T10C21.130 PE=2 SV=1;>tr|A0A178V6Z0|A0A178V6Z0_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At4g35270 PE=4 SV=1	2	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	2.2	2.2	2.2	64.573	589	589;594	0	13.81	By MS/MS	By MS/MS	By matching	By matching	2.2	2.2	0	0	9502100	5812100	3690100	0	0	0	3690100	0	0	1	1	0	0	2				1818	2278	True	2795	7328;7329	6754;6755	6754		4391		558
tr|F4J5A7|F4J5A7_ARATH;tr|A0A178V6Z8|A0A178V6Z8_ARATH;tr|Q9LIR7|Q9LIR7_ARATH;tr|F4J5A9|F4J5A9_ARATH	tr|F4J5A7|F4J5A7_ARATH;tr|A0A178V6Z8|A0A178V6Z8_ARATH;tr|Q9LIR7|Q9LIR7_ARATH;tr|F4J5A9|F4J5A9_ARATH	19;19;19;15	19;19;19;15	19;19;19;15	>tr|F4J5A7|F4J5A7_ARATH RNA recognition motif (RRM)-containing protein OS=Arabidopsis thaliana GN=At3g23900 PE=1 SV=1;>tr|A0A178V6Z8|A0A178V6Z8_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At3g25800 PE=4 SV=1;>tr|Q9LIR7|Q9LIR7_ARATH Uncha	4	19	19	19	10	15	15	11	10	15	15	11	10	15	15	11	17.6	17.6	17.6	108.79	987	987;987;1006;934	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	10.5	15.7	13.8	13.2	5265700000	502090000	1695300000	2415300000	652920000	1191100000	1682400000	3459600000	2413800000	18	20	31	17	86				1819	635;636;978;1677;1678;3311;3781;3874;3916;4378;4396;4397;4398;4515;4516;4725;4819;4833;5632	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	765;766;767;768;1190;2052;2053;4079;4080;4081;4655;4764;4820;5394;5417;5418;5419;5420;5421;5422;5569;5570;5826;5827;5940;5958;6987	1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;3005;5333;5334;5335;5336;10859;10860;10861;10862;10863;10864;10865;10866;10867;10868;10869;10870;10871;10872;10873;10874;10875;10876;10877;10878;10879;12355;12604;12605;12785;12786;12787;14418;14480;14481;14482;14483;14484;14485;14486;14487;14488;14489;14490;14491;14492;14493;14494;14495;14496;14497;14498;14927;14928;14929;14930;14931;14932;15661;15662;15663;15664;15665;15666;15667;15668;15669;15670;15671;15672;15673;15674;15675;15676;15677;15938;15939;15990;15991;15992;18882;18883;18884;18885;18886;18887	1762;1763;1764;1765;1766;1767;1768;1769;1770;1771;1772;1773;1774;1775;1776;1777;2736;4876;4877;4878;4879;9944;9945;9946;9947;9948;9949;9950;9951;9952;9953;9954;9955;9956;9957;9958;9959;9960;11283;11524;11709;11710;13183;13240;13241;13242;13243;13244;13245;13246;13247;13248;13249;13250;13251;13252;13253;13254;13650;13651;13652;13653;13654;14335;14336;14337;14338;14339;14340;14341;14342;14343;14344;14345;14346;14347;14348;14349;14585;14647;14648;14649;17281;17282;17283;17284;17285;17286	1764;1768;2736;4876;4878;9949;11283;11524;11710;13183;13240;13247;13254;13651;13654;14336;14585;14648;17284	469;470	4392;4393;4394;4395;4396;4397;4398;4399;4400;4401;4402;4403;4404;4405;4406;4407;4408;4409;4410;4411;4412;4413;4414;4415;4416;4417;4418;4419;7343	754;947	340;519;521;523;533;535;537;659;661;715;717;745;747;836;837;841;889;891;894;895;928;930;931;946;948;949;961;962;963
tr|Q9LT57|Q9LT57_ARATH;tr|A0A178V746|A0A178V746_ARATH	tr|Q9LT57|Q9LT57_ARATH;tr|A0A178V746|A0A178V746_ARATH	2;2	2;2	2;2	>tr|Q9LT57|Q9LT57_ARATH RNA-binding CRS1 / YhbY (CRM) domain protein OS=Arabidopsis thaliana GN=At3g27550 PE=4 SV=1;>tr|A0A178V746|A0A178V746_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At3g30090 PE=4 SV=1	2	2	2	2	0	2	2	0	0	2	2	0	0	2	2	0	6.7	6.7	6.7	57.003	491	491;547	0	34.712	By matching	By MS/MS	By MS/MS	By matching	0	6.7	6.7	0	188160000	0	170630000	17535000	0	0	170630000	0	0	0	1	2	0	3				1820	1710;3675	True;True	2096;4525	5431;5432;12064;12065	4961;4962;11017	4961;11017		4420;4421		283;490
tr|A0A178V768|A0A178V768_ARATH;tr|Q9LZH6|Q9LZH6_ARATH;tr|F4IZK5|F4IZK5_ARATH;tr|A0A178V6B9|A0A178V6B9_ARATH	tr|A0A178V768|A0A178V768_ARATH;tr|Q9LZH6|Q9LZH6_ARATH;tr|F4IZK5|F4IZK5_ARATH;tr|A0A178V6B9|A0A178V6B9_ARATH	4;3;3;3	4;3;3;3	4;3;3;3	>tr|A0A178V768|A0A178V768_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At3g57180 PE=4 SV=1;>tr|Q9LZH6|Q9LZH6_ARATH Putative uncharacterized protein F26K9_330 OS=Arabidopsis thaliana GN=F26K9_330 PE=4 SV=1;>tr|F4IZK5|F4IZK5_ARATH CW-type z	4	4	4	4	2	3	0	3	2	3	0	3	2	3	0	3	4.7	4.7	4.7	154.09	1403	1403;1401;1465;1465	0	33.537	By MS/MS	By MS/MS	By matching	By MS/MS	2.2	4	0	2.9	85180000	19146000	40736000	0	25298000	65361000	0	0	61861000	2	3	0	3	8				1821	461;2230;4132;4672	True;True;True;True	561;562;2740;5101;5763	1459;1460;1461;7178;13630;15462;15463;15464	1351;1352;1353;6608;12476;14136;14137;14138	1352;6608;12476;14136		4422;4423;4424;4425;4426;4427		94;506;720;723;1144;1146
tr|Q9M298|Q9M298_ARATH;tr|F4JF14|F4JF14_ARATH;tr|A0A178V782|A0A178V782_ARATH	tr|Q9M298|Q9M298_ARATH;tr|F4JF14|F4JF14_ARATH;tr|A0A178V782|A0A178V782_ARATH	2;2;2	2;2;2	2;2;2	>tr|Q9M298|Q9M298_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=T12K4_110 PE=4 SV=1;>tr|F4JF14|F4JF14_ARATH Transducin family protein / WD-40 repeat family protein OS=Arabidopsis thaliana GN=At3g42660 PE=4 SV=1;>tr|A0A178V782|A0A178V782_ARATH Un	3	2	2	2	0	2	1	0	0	2	1	0	0	2	1	0	2.4	2.4	2.4	104.66	951	951;953;953	0	55.608	By matching	By MS/MS	By MS/MS	By matching	0	2.4	2.3	0	63008000	0	63008000	0	0	0	41686000	0	0	0	2	1	0	3				1822	351;352	True;True	424;425;426;427	1072;1073;1074;1075	999;1000;1001;1002	999;1001	471	4428;4429	354	349;357
tr|Q6NKR3|Q6NKR3_ARATH;tr|Q570T2|Q570T2_ARATH;tr|Q9M062|Q9M062_ARATH;tr|A0A178V7C0|A0A178V7C0_ARATH;tr|Q9SYG8|Q9SYG8_ARATH;tr|Q8LC16|Q8LC16_ARATH	tr|Q6NKR3|Q6NKR3_ARATH;tr|Q570T2|Q570T2_ARATH;tr|Q9M062|Q9M062_ARATH;tr|A0A178V7C0|A0A178V7C0_ARATH	3;3;3;3;1;1	3;3;3;3;1;1	3;3;3;3;1;1	>tr|Q6NKR3|Q6NKR3_ARATH At3g55600 OS=Arabidopsis thaliana GN=At3g55600 PE=2 SV=1;>tr|Q570T2|Q570T2_ARATH Putative uncharacterized protein At3g55595 OS=Arabidopsis thaliana GN=At3g55595 PE=2 SV=1;>tr|Q9M062|Q9M062_ARATH Putative uncharacterized protein F1I1	6	3	3	3	3	3	1	2	3	3	1	2	3	3	1	2	11.2	11.2	11.2	26.836	240	240;240;474;652;236;236	0	27.543	By MS/MS	By MS/MS	By MS/MS	By MS/MS	11.2	11.2	5.8	11.2	402750000	96028000	175290000	107040000	24400000	110870000	134790000	253390000	127930000	3	4	2	2	11				1823	1991;2796;4720	True;True;True	2436;3440;5820	6314;6315;6316;6317;6318;6319;6320;9207;9208;9209;15644;15645	5792;5793;5794;5795;5796;5797;5798;8494;8495;14322;14323	5797;8494;14322		4430;4431;4432;7344		16;104;106;107
tr|Q9SD66|Q9SD66_ARATH;tr|Q94CB6|Q94CB6_ARATH;tr|A0A178V7E2|A0A178V7E2_ARATH	tr|Q9SD66|Q9SD66_ARATH;tr|Q94CB6|Q94CB6_ARATH;tr|A0A178V7E2|A0A178V7E2_ARATH	1;1;1	1;1;1	1;1;1	>tr|Q9SD66|Q9SD66_ARATH Putative uncharacterized protein At3g47070 OS=Arabidopsis thaliana GN=F13I12.120 PE=1 SV=1;>tr|Q94CB6|Q94CB6_ARATH Putative uncharacterized protein At3g47070 OS=Arabidopsis thaliana GN=At3g47070 PE=2 SV=1;>tr|A0A178V7E2|A0A178V7E2_A	3	1	1	1	0	1	1	0	0	1	1	0	0	1	1	0	16	16	16	10.53	100	100;100;100	0	20.428	By matching	By MS/MS	By MS/MS	By matching	0	16	16	0	665640000	0	305750000	359880000	0	0	265420000	520330000	0	0	4	4	0	8				1824	5635	True	6991;6992	18892;18893;18894;18895;18896;18897;18898	17291;17292;17293;17294;17295;17296;17297;17298	17292		7345;7346;7347;7348		64;65;66;71
tr|Q9SSE4|Q9SSE4_ARATH;tr|Q0WUY5|Q0WUY5_ARATH;tr|A0A178V7J2|A0A178V7J2_ARATH	tr|Q9SSE4|Q9SSE4_ARATH;tr|Q0WUY5|Q0WUY5_ARATH;tr|A0A178V7J2|A0A178V7J2_ARATH	2;2;2	2;2;2	2;2;2	>tr|Q9SSE4|Q9SSE4_ARATH MLP3.11 protein OS=Arabidopsis thaliana GN=MLP3.11 PE=4 SV=1;>tr|Q0WUY5|Q0WUY5_ARATH Putative uncharacterized protein At3g07660 OS=Arabidopsis thaliana GN=At3g07660 PE=1 SV=1;>tr|A0A178V7J2|A0A178V7J2_ARATH Uncharacterized protein O	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4.6	4.6	4.6	83.318	782	782;841;841	0	38.736	By MS/MS	By MS/MS	By MS/MS	By MS/MS	4.6	4.6	4.6	4.6	197450000	77757000	92347000	10998000	16347000	95655000	109640000	25471000	48342000	4	4	1	2	11				1825	463;4250	True;True	564;5236;5237	1463;1464;1465;1466;1467;1468;1469;13982;13983;13984;13985;13986;13987;13988;13989	1355;1356;1357;1358;1359;1360;1361;12785;12786;12787;12788	1357;12787		4433;4434;4435;4436;4437;4438		166;167;168;490;495;499
tr|A0A178V7N9|A0A178V7N9_ARATH;tr|Q9LJ56|Q9LJ56_ARATH;tr|F4J9Z9|F4J9Z9_ARATH	tr|A0A178V7N9|A0A178V7N9_ARATH;tr|Q9LJ56|Q9LJ56_ARATH	3;2;1	3;2;1	3;2;1	>tr|A0A178V7N9|A0A178V7N9_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At3g20270 PE=4 SV=1;>tr|Q9LJ56|Q9LJ56_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=At3g19080 PE=4 SV=1	3	3	3	3	0	2	2	0	0	2	2	0	0	2	2	0	9.9	9.9	9.9	52.461	464	464;452;462	0	122.45	By matching	By MS/MS	By MS/MS	By matching	0	9.7	9.9	0	237590000	0	92464000	145130000	0	0	0	275150000	0	0	2	4	0	6				1826	93;3055;3056	True;True;True	113;3753;3754	265;266;267;10046;10047;10048	237;238;239;9209;9210;9211	239;9209;9211	472	4439;4440;4441;7349	361	96;98;363;367
tr|A0A178V8L2|A0A178V8L2_ARATH;tr|A0A178V7Q5|A0A178V7Q5_ARATH	tr|A0A178V8L2|A0A178V8L2_ARATH;tr|A0A178V7Q5|A0A178V7Q5_ARATH	1;1	1;1	1;1	>tr|A0A178V8L2|A0A178V8L2_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At3g41050 PE=4 SV=1;>tr|A0A178V7Q5|A0A178V7Q5_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At3g41050 PE=4 SV=1	2	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	4.3	4.3	4.3	34.701	300	300;350	0	7.4121	By MS/MS	By matching	By matching	By matching	4.3	0	0	0	6328900	6328900	0	0	0	10285000	0	0	0	1	0	0	0	1				1827	1379	True	1686	4371	3965	3965		4442		201
tr|A0A178V7W7|A0A178V7W7_ARATH;tr|O23356|O23356_ARATH;tr|F4JJC4|F4JJC4_ARATH;tr|A0A178V7X7|A0A178V7X7_ARATH;tr|F4JJC3|F4JJC3_ARATH	tr|A0A178V7W7|A0A178V7W7_ARATH;tr|O23356|O23356_ARATH;tr|F4JJC4|F4JJC4_ARATH;tr|A0A178V7X7|A0A178V7X7_ARATH;tr|F4JJC3|F4JJC3_ARATH	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	>tr|A0A178V7W7|A0A178V7W7_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At4g17400 PE=4 SV=1;>tr|O23356|O23356_ARATH Putative uncharacterized protein AT4g15030 OS=Arabidopsis thaliana GN=dl3556w PE=4 SV=2;>tr|F4JJC4|F4JJC4_ARATH FRA10AC1 do	5	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	9.3	9.3	9.3	17.703	150	150;179;278;278;282	0	13.49	By matching	By matching	By MS/MS	By matching	0	0	9.3	0	34110000	0	0	34110000	0	0	0	64670000	0	0	0	2	0	2				1828	4296	True	5289	14134	12936;12937	12936		4443;7350		73;77
